"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000055118",61.0994728410467,-0.142577969982262,0.234122208002547,62.3167805236849,9.4488149931361e-13,5.29322615915484e-09,"KCNH2",3757
"ENSG00000140557",52.5847322650855,-6.03027599589707,1.2141426191462,49.110106310068,5.53799680125539e-10,1.37883813691701e-06,"ST8SIA2",8128
"ENSG00000196565",50.7147524035241,-2.35182137720172,0.465165618476022,47.2174129122554,1.37390861599406e-09,3.07865442671949e-06,"HBG2",3048
"ENSG00000158352",19.8912850726817,-0.183844882467211,0.234162824559297,37.714376610661,1.28334945059539e-07,0.000221209957607242,"SHROOM4",57477
"ENSG00000161681",20.8216818705595,-2.15139405812927,0.511359181178961,34.4503559690713,6.02382060630917e-07,0.000749898734145422,"SHANK1",50944
"ENSG00000146122",178.531544739312,-1.15215166480998,0.431382188122327,33.929674661453,7.7034993446497e-07,0.000863100066574553,"DAAM2",23500
"ENSG00000197299",39.5880865845122,-0.0397338053410426,0.247809745213162,33.1132837508051,1.13235667640633e-06,0.00120827849547205,"BLM",641
"ENSG00000183248",5.6025482422465,-1.86343636636494,0.686055068944101,32.8811293367627,1.26332190639295e-06,0.00128675078538424,"PRR36",80164
"ENSG00000104522",623.672543669877,0.0616145046316535,0.177037239934256,32.5321489937637,1.48911148834693e-06,0.00139033375961991,"TSTA3",7264
"ENSG00000109906",289.154082988982,-0.795427015799686,0.221587006417252,32.5672566713192,1.4646875404735e-06,0.00139033375961991,"ZBTB16",7704
"ENSG00000173809",5.2283906584891,-1.4181132549549,0.420457985073912,31.6942501370687,2.20905652495789e-06,0.00196896325336958,"TDRD12",91646
"ENSG00000156381",152.866471652107,0.146378020283847,0.195151303545406,31.0520167977938,2.98750193683215e-06,0.00235891107363473,"ANKRD9",122416
"ENSG00000132465",96.4990217399414,-1.23423683618056,0.358587159870604,30.8516701309175,3.28225569101809e-06,0.00245162618414445,"JCHAIN",3512
"ENSG00000137959",356.701545395829,1.08742420926747,0.412558794902873,29.8057073456944,5.36102642804547e-06,0.00375405875623884,"IFI44L",10964
"ENSG00000120738",14.5050794301291,-1.44844573849473,0.315545391514093,29.540119946281,6.07124559289887e-06,0.00412255973471751,"EGR1",1958
"ENSG00000125740",45.399161411631,-1.2376280240048,0.308443850007224,28.2271494291974,1.12181070199458e-05,0.00661514058165644,"FOSB",2354
"ENSG00000168032",7.55879201457932,0.697255820782987,0.244358585483617,27.6814815351763,1.44709898278611e-05,0.00790892536738319,"ENTPD3",956
"ENSG00000180537",116.827517477703,-1.82377605110095,0.446448419920402,27.5172328512976,1.5622641012029e-05,0.0083350509475606,"RNF182",221687
"ENSG00000103489",892.394945009382,-0.392207206475824,0.179056061920688,27.1571773383093,1.84760594750541e-05,0.00922293110405408,"XYLT1",64131
"ENSG00000108813",6.69828195070883,-1.28173823332804,0.342936420451956,27.1933743712685,1.81672036304532e-05,0.00922293110405408,"DLX4",1748
"ENSG00000087085",17.7567930671884,0.262392712310242,0.275104736715059,26.8044920530822,2.17725216489092e-05,0.0106060579371469,"ACHE",43
"ENSG00000156467",56.0687948019287,-0.128313183345212,0.167656002775166,26.74317086784,2.24026251788856e-05,0.0106808090427334,"UQCRB",7381
"ENSG00000181788",1173.71456324952,0.0822305388324719,0.208678762347998,26.5338703105253,2.46930057554367e-05,0.0115275181868297,"SIAH2",6478
"ENSG00000131711",14.931553941906,0.475033957244213,0.288820706772662,26.2485110446105,2.81951113044338e-05,0.0123881579237206,"MAP1B",4131
"ENSG00000124257",4.49765161101838,-1.36121980390586,0.366006394906527,26.1820137928652,2.90797032110434e-05,0.0125311151837127,"NEURL2",140825
"ENSG00000177666",1538.16684084091,0.0363365272280814,0.125975233775794,25.8002572360897,3.47187550783159e-05,0.0144069974776834,"PNPLA2",57104
"ENSG00000165323",5.95973754401238,-1.20758284318561,0.822811164270567,25.3001698169189,4.37797504293924e-05,0.0173849069225978,"FAT3",120114
"ENSG00000125743",265.771375250865,-1.24745149115639,0.294838724551108,25.2703225892046,4.43894180596764e-05,0.0173849069225978,"SNRPD2",6633
"ENSG00000060709",10.0654944599866,-2.09799889087872,0.655914317805946,24.6923682755122,5.80066078101734e-05,0.0213083945542683,"RIMBP2",23504
"ENSG00000144485",10.9107841994101,-1.07123954748628,0.282145421953277,24.3393053793486,6.82906603266067e-05,0.0246092794616346,"HES6",55502
"ENSG00000198176",677.540129918258,-0.203747169651949,0.157292048372201,24.2769324120309,7.02871244887813e-05,0.0246092794616346,"TFDP1",7027
"ENSG00000115649",983.719730211194,0.0605634445348056,0.145168338990107,24.0992390650467,7.62982501481048e-05,0.024668276672835,"CNPPD1",27013
"ENSG00000169682",3.96676208587213,-1.28538143837672,0.310492237814349,24.0492694393255,7.80787849977679e-05,0.024668276672835,"SPNS1",83985
"ENSG00000159461",963.769577709559,0.0389816593070452,0.105810584043119,24.1522874255124,7.44521267284566e-05,0.024668276672835,"AMFR",267
"ENSG00000197061",266.319870818522,-0.603979307021292,0.165518705725872,23.8129874740985,8.70730477865446e-05,0.0263666602000121,"H4C3",8364
"ENSG00000103257",292.779613859681,-0.123977458936163,0.201566803035251,23.7365430984869,9.01976813019738e-05,0.0269486619015284,"SLC7A5",8140
"ENSG00000170476",77.5878602153726,-0.820551212968882,0.282000030481911,23.6357100234927,9.44900622822198e-05,0.0278596488897366,"MZB1",51237
"ENSG00000111666",347.60343695017,0.120494126681743,0.174603972632822,23.4388588385054,0.000103462770081855,0.0293467563543571,"CHPT1",56994
"ENSG00000054793",117.001829862775,-0.133329403288487,0.140048751453854,23.3021734811043,0.000110185679395979,0.0308630087988138,"ATP9A",10079
"ENSG00000170396",119.289564566452,-0.985684181259278,0.449045789346418,22.5766876237428,0.000153825355176479,0.0391695290772106,"ZNF804A",91752
"ENSG00000196961",2656.3577622313,0.0582091537229236,0.137641820022877,22.5368668685574,0.00015666451936942,0.0394442533711231,"AP2A1",160
"ENSG00000178719",2894.94476269381,0.0951141213422826,0.157643598352477,22.3650665525934,0.000169521626539109,0.0417433033789929,"GRINA",2907
"ENSG00000126247",1011.01752019335,0.234087835232593,0.0764104041589169,22.234122843236,0.00018001922137897,0.0426086718593176,"CAPNS1",826
"ENSG00000101447",13.9394808399973,-0.898426052561134,0.283340969508086,22.2704750749256,0.00017704190112243,0.0426086718593176,"FAM83D",81610
"ENSG00000169429",34.7359460540865,-1.14656802620299,0.28455874458458,22.0839862876232,0.000192850906239807,0.0436710265752651,"CXCL8",3576
"ENSG00000136842",177.880435315177,-0.282533147042221,0.237970333388073,22.0836341178267,0.000192882046889302,0.0436710265752651,"TMOD1",7111
"ENSG00000166106",2.57901039976568,-2.13794005337181,0.484190004941614,22.1472343912404,0.000187338293262248,0.0436710265752651,"ADAMTS15",170689
"ENSG00000164850",36.2298694453911,0.0255863925535418,0.189124306584405,22.0368848759845,0.000197060435290764,0.0437201013266874,"GPER1",2852
"ENSG00000184792",1310.27908175397,0.0105819137849191,0.218662067774126,21.9597700770378,0.000204149897558395,0.0444135039270729,"OSBP2",23762
"ENSG00000178752",18.9584251919831,0.187561146450686,0.188988613093714,21.8098052743326,0.000218668792579027,0.0454080500130724,"ERFE",151176
"ENSG00000147689",11.3765483707467,0.0290130223065774,0.41139007980126,21.7878370663091,0.000220879929106787,0.0454080500130724,"FAM83A",84985
"ENSG00000178445",7.14799128912386,-1.02035670255743,0.411252669286083,21.8342246233087,0.000216236696071914,0.0454080500130724,"GLDC",2731
"ENSG00000125319",14.7409366004541,-1.07456568573234,0.27126860689372,21.8653277156682,0.000213177723832839,0.0454080500130724,"HROB",78995
